MMDD,HH,2022,2023,2024,Average
0106,24,0.0,0.0,0.0,0.0
0107,1,0.0,0.0,0.0,0.0
0107,2,0.0,0.0,0.0,0.0
0107,3,0.0,0.0,0.0,0.0
0107,4,0.0,0.0,0.0,0.0
0107,5,0.0,0.0,0.0,0.0
0107,6,0.0,0.0,0.0,0.0
0107,7,0.0,0.0,0.0,0.0
0107,8,1.0,1.0,0.0,0.6666666666666666
0107,9,6.0,13.0,4.0,7.666666666666667
0107,10,46.0,18.0,8.0,24.0
0107,11,49.0,42.0,32.0,41.0
0107,12,39.0,68.0,85.0,64.0
0107,13,17.0,48.0,78.0,47.666666666666664
0107,14,6.0,44.0,68.0,39.333333333333336
0107,15,3.0,16.0,39.0,19.333333333333332
0107,16,4.0,4.0,6.0,4.666666666666667
0107,17,0.0,0.0,0.0,0.0
0107,18,0.0,0.0,0.0,0.0
0107,19,0.0,0.0,0.0,0.0
0107,20,0.0,0.0,0.0,0.0
0107,21,0.0,0.0,0.0,0.0
0107,22,0.0,0.0,0.0,0.0
0107,23,0.0,0.0,0.0,0.0
0107,24,0.0,0.0,0.0,0.0
0108,1,0.0,0.0,0.0,0.0
0108,2,0.0,0.0,0.0,0.0
0108,3,0.0,0.0,0.0,0.0
0108,4,0.0,0.0,0.0,0.0
0108,5,0.0,0.0,0.0,0.0
0108,6,0.0,0.0,0.0,0.0
0108,7,0.0,0.0,0.0,0.0
0108,8,2.0,1.0,0.0,1.0
0108,9,6.0,9.0,6.0,7.0
0108,10,17.0,47.0,21.0,28.333333333333332
0108,11,28.0,72.0,26.0,42.0
0108,12,36.0,78.0,41.0,51.666666666666664
0108,13,17.0,59.0,53.0,43.0
0108,14,14.0,61.0,71.0,48.666666666666664
0108,15,5.0,30.0,32.0,22.333333333333332
0108,16,1.0,7.0,3.0,3.6666666666666665
0108,17,0.0,0.0,0.0,0.0
0108,18,0.0,0.0,0.0,0.0
0108,19,0.0,0.0,0.0,0.0
0108,20,0.0,0.0,0.0,0.0
0108,21,0.0,0.0,0.0,0.0
0108,22,0.0,0.0,0.0,0.0
0108,23,0.0,0.0,0.0,0.0
0108,24,0.0,0.0,0.0,0.0
0109,1,0.0,0.0,0.0,0.0
0109,2,0.0,0.0,0.0,0.0
0109,3,0.0,0.0,0.0,0.0
0109,4,0.0,0.0,0.0,0.0
0109,5,0.0,0.0,0.0,0.0
0109,6,0.0,0.0,0.0,0.0
0109,7,0.0,0.0,0.0,0.0
0109,8,1.0,1.0,1.0,1.0
0109,9,13.0,3.0,21.0,12.333333333333334
0109,10,35.0,17.0,57.0,36.333333333333336
0109,11,57.0,30.0,85.0,57.333333333333336
0109,12,67.0,34.0,98.0,66.33333333333333
0109,13,96.0,39.0,94.0,76.33333333333333
0109,14,50.0,28.0,74.0,50.666666666666664
0109,15,23.0,18.0,41.0,27.333333333333332
0109,16,5.0,4.0,8.0,5.666666666666667
0109,17,0.0,0.0,0.0,0.0
0109,18,0.0,0.0,0.0,0.0
0109,19,0.0,0.0,0.0,0.0
0109,20,0.0,0.0,0.0,0.0
0109,21,0.0,0.0,0.0,0.0
0109,22,0.0,0.0,0.0,0.0
0109,23,0.0,0.0,0.0,0.0
0109,24,0.0,0.0,0.0,0.0
0110,1,0.0,0.0,0.0,0.0
0110,2,0.0,0.0,0.0,0.0
0110,3,0.0,0.0,0.0,0.0
0110,4,0.0,0.0,0.0,0.0
0110,5,0.0,0.0,0.0,0.0
0110,6,0.0,0.0,0.0,0.0
0110,7,0.0,0.0,0.0,0.0
0110,8,1.0,2.0,1.0,1.3333333333333333
0110,9,10.0,15.0,21.0,15.333333333333334
0110,10,23.0,23.0,56.0,34.0
0110,11,42.0,29.0,82.0,51.0
0110,12,69.0,28.0,94.0,63.666666666666664
0110,13,82.0,20.0,90.0,64.0
0110,14,64.0,17.0,70.0,50.333333333333336
0110,15,34.0,6.0,38.0,26.0
